연도,시도,회사,세대수,수요가수,보급률
2008,경남,경동,87272.0,61990.0,71.0308002566688
2008,경남,지에스이,167466.0,57010.0,34.04273106182747
2008,경북,대성,97107.0,76591.0,78.87278980917957
2008,경북,대성청정,167956.0,33915.0,20.1927885874872
2008,경북,서라벌,149150.0,57280.0,38.40429098223265
2008,경북,영남ES(구미),249116.0,158574.0,63.65468295894282
2008,경북,영남ES(포항),229887.0,127316.0,55.38199202216742
2008,광주,해양,513021.0,413537.0,80.60820122373158
2008,대구,대성,894969.0,627393.0,70.10220465736802
2008,대전,CNCITY,531682.0,443176.0,83.3535835330141
2008,부산,부산,1311724.0,860283.0,65.58414727488405
2008,서울,귀뚜라미,342254.0,304782.0,89.05140626552209
2008,서울,대륜,583036.0,506711.0,86.90904163722308
2008,서울,서울,1548040.0,1303643.0,84.21248804940441
2008,서울,예스코,903281.0,801908.0,88.7772465046868
2008,서울,코원ES,732222.0,648191.0,88.52383566732493
2008,울산,경동,389735.0,294891.0,75.66448997395666
2008,인천,삼천리,346109.0,302803.0,87.4877567471519
2008,인천,인천,660447.0,570466.0,86.37574248955632
2008,전남,MC에너지,149119.0,60414.0,40.51395194442023
2008,전남,대화,96380.0,47993.0,49.79560074704295
2008,전남,전남,171865.0,90365.0,52.57905914525936
2008,전남,해양,87229.0,17794.0,20.39917917206434
2008,전북,군산,99379.0,56073.0,56.42338924722527
2008,전북,전북,297533.0,208582.0,70.10382041655883
2008,전북,전북ES,164525.0,70329.0,42.74669503115028
2008,제주,제주,214681.0,5671.0,2.641593806624713
2008,충남,CNCITY,13755.0,12435.0,90.40348964013086
2008,충남,서해,216853.0,46594.0,21.48644473445145
2008,충남,중부,582263.0,231922.0,39.83114159752552
2008,충북,참빛충북,78655.0,31241.0,39.71902612675608
2008,충북,충청ES,508756.0,236716.0,46.52839475111841
2009,강원,강원,132729.0,87467.0,65.89893693164267
2009,강원,참빛,61743.0,17232.0,27.90923667460279
2009,강원,참빛영동,156922.0,21974.0,14.00313531563452
2009,강원,참빛원주,137797.0,81339.0,59.02813559076032
2009,경기,대륜,337008.0,235881.0,69.99270047001852
2009,경기,삼천리,2433159.0,2055853.0,84.49316300332201
2009,경기,서울,569082.0,387485.0,68.08948446796771
2009,경기,예스코,347013.0,208178.0,59.99141242547109
2009,경기,인천,10024.0,1209.0,12.061053471668
2009,경기,코원ES,669153.0,496596.0,74.21262401872217
2009,경남,경남,773937.0,433890.0,56.0627027781331
2009,경남,경동,91153.0,66461.0,72.91147850317597
2009,경남,지에스이,169951.0,66783.0,39.29544398091214
2009,경북,대성,97855.0,81315.0,83.09744008992898
